Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
yolov5_6.0,utils/loss.py,222,163,151,11,103,84,164,114,248,726.763302104882,8.75728155339806,14839.7103360058,824.428352000322,1694.55672351286,27,54.739933936181,6,1
yolov5_6.0,utils/downloads.py,150,83,87,10,24,16,28,34,44,143.258380966181,5.83333333333333,1305.78212925425,72.5434516252363,223.848365015015,20,66.6807903839041,0,0
yolov5_6.0,utils/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_6.0,utils/callbacks.py,76,22,34,1,4,2,4,5,6,8,0.5,6.96578428466209,0.38698801581456,13.9315685693242,9,89.3453258096635,1,1
yolov5_6.0,utils/autoanchor.py,162,108,101,12,76,55,101,88,156,517.862041030366,7.97368421052632,8034.85299341442,446.380721856356,1007.67133250742,15,61.3052790527695,4,1
yolov5_6.0,utils/activations.py,101,61,58,5,31,24,48,36,72,165.18972609643,3.87096774193548,1440.90812943424,80.0504516352358,372.234600103847,11,70.5633097324405,0,0
yolov5_6.0,utils/datasets.py,1019,743,749,20,355,312,596,375,908,3093.88326300692,16.7887323943662,130349.029193022,7241.61273294566,7764.07808112799,216,9.51327113241932,20,1
yolov5_6.0,utils/metrics.py,333,218,197,14,231,157,302,245,459,1867.05699747592,9.15151515151515,33338.2084190503,1852.12268994724,3642.91681400218,41,47.6679066762762,3,1
yolov5_6.0,utils/plots.py,447,352,337,20,177,132,257,197,389,1408.20474426244,14.5197740112994,43050.812799238,2391.71182217989,2964.97815776853,86,35.5282106315767,28,1
yolov5_6.0,utils/general.py,820,604,567,20,372,232,443,392,675,3263.00563962993,11.9086021505376,69247.6777187245,3847.0932065958,5814.92914477777,162,20.2664919179843,33,1
yolov5_6.0,utils/flask_rest_api/example_request.py,13,9,7,0,0,0,0,0,0,0,0,0,0,0,1,100,1,1
yolov5_6.0,utils/flask_rest_api/restapi.py,37,24,23,2,5,3,5,7,8,13.6096404744368,1,22.4588393764608,1.24771329869227,22.4588393764608,4,85.3751305744367,2,1
yolov5_6.0,utils/aws/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_6.0,utils/aws/resume.py,40,28,28,8,17,10,20,25,30,93.4868683012558,4.70588235294118,655.603226791726,36.4224014884292,139.315685693242,7,81.3492527884938,2,1
yolov5_6.0,utils/loggers/__init__.py,149,112,109,11,68,44,80,79,124,452.001221010033,6.47058823529412,5057.85702383151,280.992056879528,781.668812773961,55,54.7979248618992,6,1
yolov5_6.0,utils/loggers/wandb/sweep.py,36,24,24,4,8,4,8,12,12,32,2,86.0391000173078,4.77995000096154,43.0195500086539,4,81.6270847165672,2,1
yolov5_6.0,utils/loggers/wandb/wandb_utils.py,528,321,340,17,161,100,190,178,290,1249.76448567771,10.0310559006211,21746.9549838081,1208.16416576712,2167.96269498026,109,35.5580622372407,7,1
yolov5_6.0,utils/loggers/wandb/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_6.0,utils/loggers/wandb/log_dataset.py,23,15,15,1,2,1,2,3,3,2,0.5,2.37744375108173,0.13208020839343,4.75488750216347,2,89.4065060357368,1,1
yolov5_7.0,./export.py,652,419,493,15,83,59,106,98,165,587.731631735923,9.57831325301205,10454.0308891785,580.779493843248,1091.42712427901,105,34.2328510549881,12,1
yolov5_7.0,./benchmarks.py,169,101,120,11,42,24,46,53,70,264.531079561718,6.02380952380952,2415.27312500748,134.181840278193,400.954431819424,28,63.5245815291337,1,1
yolov5_7.0,./hubconf.py,169,85,90,5,22,14,25,27,39,109.717136084457,2.84090909090909,526.819922114703,29.2677734508168,185.440612584375,18,68.7231321804513,6,1
yolov5_7.0,./train.py,633,395,487,20,261,221,402,281,623,2181.72202700249,15.4022988505747,78054.9629959406,4336.38683310781,5067.74759749764,120,30.0536085050676,14,1
yolov5_7.0,./detect.py,259,164,188,14,90,59,116,104,175,637.569747578477,9.02222222222222,10579.2498216428,587.736101202376,1172.57695067469,48,52.9780936634645,11,1
yolov5_7.0,./val.py,406,281,306,19,133,84,161,152,245,1019.06318667709,11.5,20421.0357691273,1134.50198717374,1775.74224079368,80,42.0271921921402,10,1
yolov5_7.0,models/common.py,860,672,678,20,181,149,288,201,437,1443.91066745981,15.9116022099448,53200.594566023,2955.58858700127,3343.50958904519,244,9.11581979999892,14,1
yolov5_7.0,models/experimental.py,111,77,77,13,47,34,62,60,96,309.171392364683,8.57446808510638,4862.25070984899,270.125039436055,567.061497178418,34,63.7933611626498,1,1
yolov5_7.0,models/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_7.0,models/tf.py,608,391,446,17,155,141,260,172,401,1197.28615111876,14.258064516129,42459.5489565455,2358.86383091919,2977.93216663554,128,28.2156173920789,3,1
yolov5_7.0,models/yolo.py,391,320,310,18,173,130,235,191,365,1361.24933340712,12.2254335260116,33812.6336388607,1878.47964660337,2765.76152223305,114,34.9327046361106,6,1
yolov5_7.0,classify/predict.py,224,142,157,12,70,46,90,82,136,472.069361194802,7.71428571428571,6669.98027455932,370.55445969774,864.62707262806,38,56.6094473839748,3,1
yolov5_7.0,classify/train.py,333,205,241,16,118,96,172,134,268,876.151879824697,11.6610169491525,22082.6065981926,1226.81147767737,1893.71190304268,52,47.048261387379,1,1
yolov5_7.0,classify/val.py,170,103,122,12,38,27,49,50,76,242.44079551951,7.73684210526316,3318.58743958754,184.365968865974,428.933070422879,17,64.0005735623415,2,1
yolov5_7.0,segment/predict.py,274,175,199,14,88,58,114,102,172,621.732951348889,9.06818181818182,10407.1637811095,578.175765617197,1147.6571588191,52,51.8778445822942,3,1
yolov5_7.0,segment/train.py,658,399,499,20,264,230,419,284,649,2210.15860940838,15.8712121212121,83945.7910588647,4663.65505882582,5289.18588055854,125,29.281659678075,1,1
yolov5_7.0,segment/val.py,470,326,354,19,138,93,175,157,268,1061.68699779082,12.0471014492754,23551.5817004976,1308.4212055832,1954.95836070296,89,38.9404622093548,2,1
yolov5_7.0,utils/augmentations.py,397,282,277,15,236,163,316,251,479,1918.90711858352,10.0423728813559,38345.4889353879,2130.30494085488,3818.36936234242,64,41.6351520980897,4,1
yolov5_7.0,utils/torch_utils.py,432,307,317,19,178,121,231,197,352,1411.39117346745,12.3286516853933,33077.3069475537,1837.62816375298,2682.96224044864,120,33.2771368376717,5,1
yolov5_7.0,utils/loss.py,234,159,161,11,102,85,166,113,251,718.641132686103,8.95098039215686,15322.8693290584,851.27051828102,1711.86491956621,26,55.0784187552496,1,1
yolov5_7.0,utils/triton.py,85,56,53,4,9,7,12,13,19,36.5293250129808,2.66666666666667,187.488945719149,10.4160525399527,70.3083546446807,16,73.7428661285836,0,0
yolov5_7.0,utils/downloads.py,108,75,78,10,20,14,24,30,38,119.657842846621,6,1118.77105579874,62.1539475443746,186.461842633124,22,68.8805054396557,0,0
yolov5_7.0,utils/autobatch.py,72,47,45,11,30,21,42,41,63,185.260465673266,7.7,2598.94847744023,144.386026524457,337.525776290939,11,72.977813403803,4,1
yolov5_7.0,utils/__init__.py,80,50,49,5,11,7,14,16,21,49.6633882794471,3.18181818181818,267.272727272727,14.8484848484848,84,12,74.0092482230731,1,1
yolov5_7.0,utils/callbacks.py,76,25,37,1,4,2,4,5,6,8,0.5,6.96578428466209,0.38698801581456,13.9315685693242,11,87.9921578207667,0,0
yolov5_7.0,utils/autoanchor.py,169,114,107,14,78,59,108,92,167,543.564341980062,9.69230769230769,10559.1377445655,586.618763586973,1089.43484666152,18,60.3939997126648,3,1
yolov5_7.0,utils/activations.py,103,61,58,5,31,24,48,36,72,165.18972609643,3.87096774193548,1440.90812943424,80.0504516352358,372.234600103847,11,70.4544051763216,0,0
